,Dimension,Probability,q-values,Number_of_nodes_visited,Path_Length,Solvable,Time
365,30,0.3,0.4,11,0,0,0.0
366,30,0.3,0.4,384,61,1,0.0332181453704834
367,30,0.3,0.4,510,63,1,0.016437530517578125
368,30,0.3,0.4,5,0,0,0.0
369,30,0.3,0.4,508,61,1,0.016724109649658203
370,30,0.3,0.4,8,0,0,0.0
371,30,0.3,0.4,458,59,1,0.03424954414367676
372,30,0.3,0.4,619,0,0,0.0491330623626709
373,30,0.3,0.4,5,0,0,0.0
374,30,0.3,0.4,615,0,0,0.03295087814331055
375,30,0.3,0.4,430,59,1,0.016635894775390625
376,30,0.3,0.4,34,0,0,0.0
377,30,0.3,0.4,297,59,1,0.01571941375732422
378,30,0.3,0.4,616,0,0,0.03161811828613281
379,30,0.3,0.4,1,0,0,0.0
380,30,0.3,0.4,447,59,1,0.015140771865844727
381,30,0.3,0.4,408,59,1,0.015665531158447266
382,30,0.3,0.4,440,61,1,0.01675724983215332
383,30,0.3,0.4,4,0,0,0.0
384,30,0.3,0.4,605,0,0,0.033353567123413086
385,30,0.3,0.4,522,59,1,0.03630995750427246
386,30,0.3,0.4,626,0,0,0.0512385368347168
387,30,0.3,0.4,5,0,0,0.0
388,30,0.3,0.4,539,71,1,0.015506505966186523
389,30,0.3,0.4,505,59,1,0.016741514205932617
390,30,0.3,0.4,449,59,1,0.03365778923034668
391,30,0.3,0.4,8,0,0,0.0
392,30,0.3,0.4,609,0,0,0.0453639030456543
393,30,0.3,0.4,415,61,1,0.021497726440429688
394,30,0.3,0.4,454,59,1,0.02240920066833496
395,30,0.3,0.4,412,65,1,0.02194952964782715
396,30,0.3,0.4,26,0,0,0.0
397,30,0.3,0.4,599,0,0,0.015598058700561523
398,30,0.3,0.4,630,0,0,0.049187660217285156
399,30,0.3,0.4,41,0,0,0.0
400,30,0.3,0.5,565,0,0,0.02139592170715332
401,30,0.3,0.5,407,59,1,0.021062850952148438
402,30,0.3,0.5,377,63,1,0.01663994789123535
403,30,0.3,0.5,437,59,1,0.014714956283569336
404,30,0.3,0.5,613,0,0,0.03388619422912598
405,30,0.3,0.5,584,0,0,0.02936863899230957
406,30,0.3,0.5,1,0,0,0.0
407,30,0.3,0.5,546,0,0,0.02216506004333496
408,30,0.3,0.5,546,59,1,0.02308368682861328
409,30,0.3,0.5,466,63,1,0.022533655166625977
410,30,0.3,0.5,618,0,0,0.030595779418945312
411,30,0.3,0.5,459,59,1,0.03687167167663574
412,30,0.3,0.5,486,59,1,0.05767393112182617
413,30,0.3,0.5,506,59,1,0.029414653778076172
414,30,0.3,0.5,394,59,1,0.016457557678222656
415,30,0.3,0.5,541,69,1,0.027694225311279297
416,30,0.3,0.5,3,0,0,0.0
417,30,0.3,0.5,615,0,0,0.03030848503112793
418,30,0.3,0.5,621,0,0,0.030376911163330078
419,30,0.3,0.5,3,0,0,0.0
420,30,0.3,0.5,8,0,0,0.0
421,30,0.3,0.5,82,0,0,0.0
422,30,0.3,0.5,584,0,0,0.023509502410888672
423,30,0.3,0.5,3,0,0,0.0010306835174560547
424,30,0.3,0.5,496,59,1,0.02204275131225586
425,30,0.3,0.5,423,65,1,0.013583898544311523
426,30,0.3,0.5,441,59,1,0.014755010604858398
427,30,0.3,0.5,407,59,1,0.017681360244750977
428,30,0.3,0.5,5,0,0,0.0010411739349365234
429,30,0.3,0.5,514,61,1,0.02304816246032715
430,30,0.3,0.5,379,59,1,0.03811216354370117
431,30,0.3,0.5,479,59,1,0.02294015884399414
432,30,0.3,0.5,601,0,0,0.06576371192932129
433,30,0.3,0.5,592,59,1,0.030437469482421875
434,30,0.3,0.5,1,0,0,0.0010418891906738281
435,30,0.3,0.5,499,59,1,0.02277207374572754
436,30,0.3,0.5,398,59,1,0.014725208282470703
437,30,0.3,0.5,468,61,1,0.023204803466796875
438,30,0.3,0.5,8,0,0,0.0
439,30,0.3,0.5,639,0,0,0.04169583320617676
440,30,0.3,0.5,527,63,1,0.022838115692138672
441,30,0.3,0.5,319,59,1,0.0020525455474853516
442,30,0.3,0.5,6,0,0,0.0
443,30,0.3,0.5,1,0,0,0.0
444,30,0.3,0.5,426,61,1,0.016640186309814453
445,30,0.3,0.5,13,0,0,0.015394449234008789
446,30,0.3,0.5,36,0,0,0.0
447,30,0.3,0.5,358,61,1,0.021962404251098633
448,30,0.3,0.5,625,0,0,0.04204058647155762
449,30,0.3,0.5,1,0,0,0.0
450,30,0.3,0.5,4,0,0,0.0
451,30,0.3,0.5,418,59,1,0.013293266296386719
452,30,0.3,0.5,405,61,1,0.03409147262573242
453,30,0.3,0.5,528,59,1,0.03288888931274414
454,30,0.3,0.5,428,59,1,0.0166473388671875
455,30,0.3,0.5,605,0,0,0.033481597900390625
456,30,0.3,0.5,383,63,1,0.015673160552978516
457,30,0.3,0.5,450,59,1,0.033202409744262695
458,30,0.3,0.5,1,0,0,0.0
459,30,0.3,0.5,424,59,1,0.050423383712768555
460,30,0.3,0.5,464,71,1,0.016677379608154297
461,30,0.3,0.5,602,0,0,0.02997589111328125
462,30,0.3,0.5,578,0,0,0.03326249122619629
463,30,0.3,0.5,592,0,0,0.03175854682922363
464,30,0.3,0.5,414,61,1,0.016747474670410156
465,30,0.3,0.5,3,0,0,0.0
466,30,0.3,0.5,586,0,0,0.03241324424743652
467,30,0.3,0.5,449,59,1,0.01595783233642578
468,30,0.3,0.5,556,0,0,0.03635740280151367
469,30,0.3,0.5,512,59,1,0.016663789749145508
470,30,0.3,0.5,522,61,1,0.033882856369018555
471,30,0.3,0.5,478,59,1,0.034674644470214844
472,30,0.3,0.5,368,61,1,0.033925533294677734
473,30,0.3,0.5,405,59,1,0.016611337661743164
474,30,0.3,0.5,422,67,1,0.033567190170288086
475,30,0.3,0.5,640,0,0,0.033306121826171875
476,30,0.3,0.5,434,59,1,0.03447675704956055
477,30,0.3,0.5,620,0,0,0.02937793731689453
478,30,0.3,0.5,412,65,1,0.01672840118408203
479,30,0.3,0.5,508,63,1,0.017520904541015625
480,30,0.3,0.5,43,0,0,0.0
481,30,0.3,0.5,477,59,1,0.016677379608154297
482,30,0.3,0.5,410,59,1,0.023741722106933594
483,30,0.3,0.5,485,63,1,0.022983312606811523
484,30,0.3,0.5,623,0,0,0.08825469017028809
485,30,0.3,0.5,478,59,1,0.024349451065063477
486,30,0.3,0.5,310,61,1,0.0074193477630615234
487,30,0.3,0.5,8,0,0,0.0024759769439697266
488,30,0.3,0.5,378,59,1,0.019256591796875
489,30,0.3,0.5,409,65,1,0.017948627471923828
490,30,0.3,0.5,7,0,0,0.0
491,30,0.3,0.5,457,59,1,0.013988018035888672
492,30,0.3,0.5,537,63,1,0.04116511344909668
493,30,0.3,0.5,582,0,0,0.03379082679748535
494,30,0.3,0.5,608,0,0,0.027278661727905273
495,30,0.3,0.5,524,61,1,0.03887486457824707
496,30,0.3,0.5,400,59,1,0.03285574913024902
497,30,0.3,0.5,1,0,0,0.0
498,30,0.3,0.5,525,63,1,0.05779838562011719
499,30,0.3,0.5,435,59,1,0.016733407974243164
500,30,0.3,0.6,5,0,0,0.0
501,30,0.3,0.6,407,59,1,0.01396489143371582
502,30,0.3,0.6,356,59,1,0.015610694885253906
503,30,0.3,0.6,476,61,1,0.01751089096069336
504,30,0.3,0.6,648,0,0,0.03350329399108887
505,30,0.3,0.6,1,0,0,0.0
506,30,0.3,0.6,386,61,1,0.017655134201049805
507,30,0.3,0.6,14,0,0,0.0
508,30,0.3,0.6,520,61,1,0.04905295372009277
509,30,0.3,0.6,17,0,0,0.0
510,30,0.3,0.6,457,59,1,0.01674795150756836
511,30,0.3,0.6,473,59,1,0.017914772033691406
512,30,0.3,0.6,12,0,0,0.0
513,30,0.3,0.6,623,0,0,0.03332781791687012
514,30,0.3,0.6,615,0,0,0.021857261657714844
515,30,0.3,0.6,533,0,0,0.015749216079711914
516,30,0.3,0.6,405,59,1,0.016728878021240234
517,30,0.3,0.6,379,59,1,0.04843020439147949
518,30,0.3,0.6,564,63,1,0.03341102600097656
519,30,0.3,0.6,434,59,1,0.017191648483276367
520,30,0.3,0.6,430,61,1,0.03329825401306152
521,30,0.3,0.6,598,0,0,0.034668684005737305
522,30,0.3,0.6,1,0,0,0.0
523,30,0.3,0.6,70,0,0,0.0
524,30,0.3,0.6,498,61,1,0.016582250595092773
525,30,0.3,0.6,3,0,0,0.0
526,30,0.3,0.6,610,0,0,0.03349733352661133
527,30,0.3,0.6,3,0,0,0.0
528,30,0.3,0.6,17,0,0,0.015074014663696289
529,30,0.3,0.6,598,0,0,0.04962944984436035
530,30,0.3,0.6,641,0,0,0.03445935249328613
531,30,0.3,0.6,4,0,0,0.0
532,30,0.3,0.6,1,0,0,0.0
533,30,0.3,0.6,68,0,0,0.0
