,Dimension,Probability,Number_of_nodes_visited,Path_Length,Solvable,Time
309,50,0.4,1157,0,0,0.2989053726196289
310,50,0.4,5,0,0,0.0
311,50,0.4,118,0,0,0.0
312,50,0.4,6,0,0,0.016969919204711914
313,50,0.4,7,0,0,0.0
314,50,0.4,1,0,0,0.0
315,50,0.4,86,0,0,0.0
316,50,0.4,1,0,0,0.002846240997314453
317,50,0.4,32,0,0,0.0
318,50,0.4,4,0,0,0.01566481590270996
319,50,0.4,4,0,0,0.017070531845092773
320,50,0.4,3,0,0,0.0
321,50,0.4,1,0,0,0.0
322,50,0.4,4,0,0,0.0
323,50,0.4,1,0,0,0.0
324,50,0.4,1,0,0,0.01569223403930664
325,50,0.4,18,0,0,0.0
326,50,0.4,16,0,0,0.0
327,50,0.4,1,0,0,0.0
328,50,0.4,3,0,0,0.0
329,50,0.4,236,0,0,0.01690983772277832
330,50,0.4,1,0,0,0.0
331,50,0.4,29,0,0,0.0
332,50,0.4,1145,0,0,0.26669859886169434
333,50,0.4,93,0,0,0.009144306182861328
334,50,0.4,4,0,0,0.0009984970092773438
335,50,0.4,6,0,0,0.0
336,50,0.4,21,0,0,0.0010461807250976562
337,50,0.4,978,0,0,0.18695878982543945
338,50,0.4,6,0,0,0.0
339,50,0.4,3,0,0,0.0
340,50,0.4,1,0,0,0.0
341,50,0.4,109,0,0,0.0
342,50,0.4,21,0,0,0.0
343,50,0.4,17,0,0,0.0
344,50,0.4,7,0,0,0.0
345,50,0.4,1085,0,0,0.2641780376434326
346,50,0.4,715,0,0,0.1188364028930664
347,50,0.4,1245,0,0,0.3151848316192627
348,50,0.4,1,0,0,0.0009970664978027344
349,50,0.4,1407,0,0,0.39897799491882324
350,50,0.4,812,0,0,0.14719510078430176
351,50,0.4,1,0,0,0.0009970664978027344
352,50,0.4,7,0,0,0.0009987354278564453
353,50,0.4,3,0,0,0.0
354,50,0.4,9,0,0,0.0
355,50,0.4,255,0,0,0.025918245315551758
356,50,0.4,639,0,0,0.0831899642944336
357,50,0.4,732,103,1,0.11664843559265137
358,50,0.4,3,0,0,0.015787839889526367
359,50,0.4,8,0,0,0.0
360,50,0.4,17,0,0,0.002991914749145508
361,50,0.4,15,0,0,0.0
362,50,0.4,1,0,0,0.0
363,50,0.4,23,0,0,0.0
364,50,0.4,14,0,0,0.016673564910888672
365,50,0.4,1,0,0,0.0010623931884765625
366,50,0.4,1,0,0,0.0
367,50,0.4,1,0,0,0.0
368,50,0.4,4,0,0,0.0
369,50,0.4,5,0,0,0.0
370,50,0.4,147,0,0,0.010049104690551758
371,50,0.4,508,0,0,0.04960179328918457
372,50,0.4,8,0,0,0.0
373,50,0.4,624,0,0,0.08556580543518066
374,50,0.4,6,0,0,0.0
375,50,0.4,1,0,0,0.0
376,50,0.4,4,0,0,0.0
377,50,0.4,1,0,0,0.0
378,50,0.4,772,131,1,0.13105154037475586
379,50,0.4,839,129,1,0.14924383163452148
380,50,0.4,11,0,0,0.0
381,50,0.4,1,0,0,0.0
382,50,0.4,1,0,0,0.0
383,50,0.4,1,0,0,0.0
384,50,0.4,1,0,0,0.0
385,50,0.4,13,0,0,0.0
386,50,0.4,972,117,1,0.1869056224822998
387,50,0.4,34,0,0,0.003243684768676758
388,50,0.4,1,0,0,0.0
389,50,0.4,189,0,0,0.01889348030090332
390,50,0.4,9,0,0,0.0
391,50,0.4,112,0,0,0.00688934326171875
392,50,0.4,4,0,0,0.0
393,50,0.4,3,0,0,0.0
394,50,0.4,898,123,1,0.16768670082092285
395,50,0.4,4,0,0,0.0
396,50,0.4,1,0,0,0.0
397,50,0.4,74,0,0,0.0
398,50,0.4,10,0,0,0.00099945068359375
399,50,0.4,801,0,0,0.12118887901306152
400,50,0.5,10,0,0,0.012083292007446289
401,50,0.5,1,0,0,0.01659417152404785
402,50,0.5,48,0,0,0.0
403,50,0.5,3,0,0,0.0010495185852050781
404,50,0.5,16,0,0,0.0
405,50,0.5,5,0,0,0.0
406,50,0.5,62,0,0,0.013254404067993164
407,50,0.5,6,0,0,0.0
408,50,0.5,54,0,0,0.01568126678466797
409,50,0.5,11,0,0,0.0
410,50,0.5,1,0,0,0.0
411,50,0.5,3,0,0,0.0
412,50,0.5,11,0,0,0.0
413,50,0.5,8,0,0,0.0
414,50,0.5,1,0,0,0.0
415,50,0.5,3,0,0,0.015620708465576172
416,50,0.5,5,0,0,0.0
417,50,0.5,5,0,0,0.016618967056274414
418,50,0.5,4,0,0,0.0
419,50,0.5,6,0,0,0.0
420,50,0.5,43,0,0,0.0
421,50,0.5,1,0,0,0.0
422,50,0.5,1,0,0,0.0010449886322021484
423,50,0.5,7,0,0,0.00735926628112793
424,50,0.5,15,0,0,0.0053043365478515625
425,50,0.5,14,0,0,0.0035381317138671875
426,50,0.5,5,0,0,0.0047299861907958984
427,50,0.5,12,0,0,0.0036482810974121094
428,50,0.5,6,0,0,0.00485992431640625
429,50,0.5,4,0,0,0.003916025161743164
430,50,0.5,5,0,0,0.0029768943786621094
431,50,0.5,8,0,0,0.013283729553222656
432,50,0.5,17,0,0,0.0019969940185546875
433,50,0.5,35,0,0,0.015983104705810547
434,50,0.5,54,0,0,0.0
435,50,0.5,5,0,0,0.0
436,50,0.5,3,0,0,0.0
437,50,0.5,10,0,0,0.0
438,50,0.5,5,0,0,0.015520811080932617
439,50,0.5,62,0,0,0.015828847885131836
440,50,0.5,6,0,0,0.0
441,50,0.5,1,0,0,0.0
442,50,0.5,9,0,0,0.0
443,50,0.5,26,0,0,0.0
444,50,0.5,58,0,0,0.013387441635131836
445,50,0.5,1,0,0,0.0
446,50,0.5,1,0,0,0.0
447,50,0.5,3,0,0,0.0
448,50,0.5,42,0,0,0.0
449,50,0.5,3,0,0,0.0
450,50,0.5,3,0,0,0.0
451,50,0.5,13,0,0,0.0
452,50,0.5,5,0,0,0.0010492801666259766
453,50,0.5,8,0,0,0.0
454,50,0.5,29,0,0,0.0
455,50,0.5,16,0,0,0.0
456,50,0.5,1,0,0,0.0
457,50,0.5,1,0,0,0.0
458,50,0.5,34,0,0,0.0
459,50,0.5,1,0,0,0.0
460,50,0.5,1,0,0,0.0
461,50,0.5,3,0,0,0.0
462,50,0.5,3,0,0,0.0
463,50,0.5,73,0,0,0.0
464,50,0.5,18,0,0,0.016854286193847656
465,50,0.5,8,0,0,0.0
466,50,0.5,39,0,0,0.0009965896606445312
467,50,0.5,4,0,0,0.0010368824005126953
468,50,0.5,24,0,0,0.0
469,50,0.5,3,0,0,0.002991199493408203
470,50,0.5,58,0,0,0.0
471,50,0.5,1,0,0,0.017647504806518555
472,50,0.5,4,0,0,0.0
473,50,0.5,8,0,0,0.011414289474487305
474,50,0.5,1,0,0,0.015632152557373047
475,50,0.5,18,0,0,0.0
476,50,0.5,1,0,0,0.0
477,50,0.5,7,0,0,0.0
478,50,0.5,4,0,0,0.017490148544311523
479,50,0.5,1,0,0,0.017090797424316406
480,50,0.5,10,0,0,0.0
481,50,0.5,9,0,0,0.0
482,50,0.5,16,0,0,0.01668834686279297
483,50,0.5,1,0,0,0.001993417739868164
484,50,0.5,1,0,0,0.0
485,50,0.5,1,0,0,0.003304004669189453
486,50,0.5,4,0,0,0.0020363330841064453
487,50,0.5,7,0,0,0.004732847213745117
488,50,0.5,34,0,0,0.008467435836791992
489,50,0.5,8,0,0,0.0019068717956542969
490,50,0.5,1,0,0,0.008545160293579102
491,50,0.5,4,0,0,0.0009765625
492,50,0.5,9,0,0,0.0010488033294677734
493,50,0.5,11,0,0,0.0
494,50,0.5,14,0,0,0.0
495,50,0.5,1,0,0,0.0
496,50,0.5,4,0,0,0.017016172409057617
497,50,0.5,3,0,0,0.0063397884368896484
498,50,0.5,9,0,0,0.0
499,50,0.5,24,0,0,0.0
500,50,0.6,5,0,0,0.0
501,50,0.6,1,0,0,0.0
502,50,0.6,13,0,0,0.016620874404907227
503,50,0.6,5,0,0,0.0
504,50,0.6,4,0,0,0.0
505,50,0.6,3,0,0,0.0
506,50,0.6,8,0,0,0.0
507,50,0.6,7,0,0,0.0
508,50,0.6,1,0,0,0.0022077560424804688
509,50,0.6,3,0,0,0.017023563385009766
510,50,0.6,20,0,0,0.003980398178100586
511,50,0.6,3,0,0,0.0020461082458496094
512,50,0.6,4,0,0,0.0
513,50,0.6,1,0,0,0.0
514,50,0.6,3,0,0,0.0
515,50,0.6,1,0,0,0.0
516,50,0.6,3,0,0,0.0010478496551513672
517,50,0.6,8,0,0,0.0
518,50,0.6,1,0,0,0.0
519,50,0.6,1,0,0,0.0010447502136230469
520,50,0.6,8,0,0,0.0086669921875
521,50,0.6,6,0,0,0.003280162811279297
522,50,0.6,3,0,0,0.002451181411743164
523,50,0.6,3,0,0,0.0029942989349365234
524,50,0.6,5,0,0,0.0
525,50,0.6,1,0,0,0.0030405521392822266
526,50,0.6,4,0,0,0.002086639404296875
527,50,0.6,3,0,0,0.004914999008178711
528,50,0.6,3,0,0,0.0010335445404052734
529,50,0.6,4,0,0,0.0057621002197265625
530,50,0.6,4,0,0,0.002051115036010742
531,50,0.6,5,0,0,0.0
532,50,0.6,12,0,0,0.0
533,50,0.6,9,0,0,0.0
534,50,0.6,1,0,0,0.0
535,50,0.6,5,0,0,0.0
536,50,0.6,6,0,0,0.01559305191040039
537,50,0.6,5,0,0,0.0
538,50,0.6,1,0,0,0.0
539,50,0.6,1,0,0,0.0
540,50,0.6,16,0,0,0.007825851440429688
541,50,0.6,1,0,0,0.0
542,50,0.6,1,0,0,0.004616498947143555
543,50,0.6,1,0,0,0.002043008804321289
544,50,0.6,6,0,0,0.0
545,50,0.6,3,0,0,0.006218671798706055
546,50,0.6,3,0,0,0.005739927291870117
547,50,0.6,3,0,0,0.002801656723022461
548,50,0.6,1,0,0,0.0010368824005126953
549,50,0.6,26,0,0,0.008632183074951172
550,50,0.6,5,0,0,0.0022995471954345703
551,50,0.6,3,0,0,0.0
552,50,0.6,4,0,0,0.002707242965698242
553,50,0.6,1,0,0,0.007281064987182617
554,50,0.6,1,0,0,0.0022804737091064453
555,50,0.6,4,0,0,0.002866506576538086
556,50,0.6,11,0,0,0.0010449886322021484
557,50,0.6,4,0,0,0.0
558,50,0.6,1,0,0,0.0
559,50,0.6,4,0,0,0.015776872634887695
560,50,0.6,1,0,0,0.0
561,50,0.6,1,0,0,0.0
562,50,0.6,10,0,0,0.015787601470947266
563,50,0.6,3,0,0,0.0
564,50,0.6,1,0,0,0.015186309814453125
565,50,0.6,4,0,0,0.0030410289764404297
566,50,0.6,3,0,0,0.0
567,50,0.6,3,0,0,0.0
568,50,0.6,21,0,0,0.0
569,50,0.6,1,0,0,0.0
570,50,0.6,4,0,0,0.0
571,50,0.6,1,0,0,0.01654958724975586
572,50,0.6,4,0,0,0.015738964080810547
573,50,0.6,12,0,0,0.0019969940185546875
574,50,0.6,1,0,0,0.0
575,50,0.6,7,0,0,0.0
576,50,0.6,1,0,0,0.0
577,50,0.6,11,0,0,0.0
578,50,0.6,3,0,0,0.015967130661010742
579,50,0.6,4,0,0,0.01695108413696289
580,50,0.6,1,0,0,0.0
581,50,0.6,3,0,0,0.0
