,Dimension,Probability,q-values,Number_of_nodes_visited,Path_Length,Solvable,Time
365,30,0.3,0.4,11,0,0,0.0
366,30,0.3,0.4,269,61,1,0.016667842864990234
367,30,0.3,0.4,321,63,1,0.015766382217407227
368,30,0.3,0.4,5,0,0,0.0
369,30,0.3,0.4,399,61,1,0.01665806770324707
370,30,0.3,0.4,8,0,0,0.0
371,30,0.3,0.4,307,59,1,0.016774654388427734
372,30,0.3,0.4,619,0,0,0.016878604888916016
373,30,0.3,0.4,5,0,0,0.0
374,30,0.3,0.4,615,0,0,0.03137707710266113
375,30,0.3,0.4,236,59,1,0.0
376,30,0.3,0.4,34,0,0,0.0
377,30,0.3,0.4,195,59,1,0.0
378,30,0.3,0.4,616,0,0,0.03412365913391113
379,30,0.3,0.4,1,0,0,0.0
380,30,0.3,0.4,284,59,1,0.008881568908691406
381,30,0.3,0.4,255,59,1,0.016817331314086914
382,30,0.3,0.4,288,61,1,0.0
383,30,0.3,0.4,4,0,0,0.0
384,30,0.3,0.4,605,0,0,0.04901528358459473
385,30,0.3,0.4,370,59,1,0.015626192092895508
386,30,0.3,0.4,626,0,0,0.016646146774291992
387,30,0.3,0.4,5,0,0,0.0011107921600341797
388,30,0.3,0.4,395,71,1,0.031626224517822266
389,30,0.3,0.4,385,59,1,0.014817953109741211
390,30,0.3,0.4,295,59,1,0.0
391,30,0.3,0.4,8,0,0,0.0
392,30,0.3,0.4,609,0,0,0.03575778007507324
393,30,0.3,0.4,230,61,1,0.007259845733642578
394,30,0.3,0.4,305,59,1,0.008053302764892578
395,30,0.3,0.4,299,65,1,0.021948814392089844
396,30,0.3,0.4,26,0,0,0.0009591579437255859
397,30,0.3,0.4,599,0,0,0.0333402156829834
398,30,0.3,0.4,630,0,0,0.06660604476928711
399,30,0.3,0.4,41,0,0,0.0
400,30,0.3,0.5,565,0,0,0.030046701431274414
401,30,0.3,0.5,277,59,1,0.008368492126464844
402,30,0.3,0.5,235,63,1,0.02096247673034668
403,30,0.3,0.5,211,59,1,0.00797128677368164
